Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
EW9,Aljunied,阿裕尼,அல்ஜூனிட்,4-Nov-89,Aljunied,ALJ,Geylang,—
EW10,Kallang,加冷,காலாங்,4-Nov-89,Geylang,KAL,Kallang,Lorong 1 Geylang
EW11,Lavender,劳明达,லவண்டர்,4-Nov-89,Crawford,LVR,Kallang,—
EW12  DT14,Bugis,武吉士,பூகிஸ்,4-Nov-89,"Rochore, Victoria",BGS,"Downtown Core, Rochor",Downtown Line
EW13  NS25,City Hall,政府大厦,நகர மண்டபம்,12-Dec-87,Saint Andrew's,CTH,Downtown Core,North South Line
EW14  NS26,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,12-Dec-87,Central,RFP,Downtown Core,North South Line
EW15,Tanjong Pagar,丹戎巴葛,தஞ்சோங் பகார்,12-Dec-87,Maxwell,TPG,Downtown Core,Shenton Way
EW16  NE3,Outram Park,欧南园,ஊட்ரம் பார்க்,12-Dec-87,Outram Park,OTP,"Bukit Merah, Outram","North East Line
― 
 Kampong Bahru"
EW17,Tiong Bahru,中峇鲁,தியோங் பாரு,12-Mar-88,Tiong Bahru,TIB,Bukit Merah,Tiong Bahru
EW18,Redhill,红山,ரெட்ஹில்,12-Mar-88,Alexandra,RDH,Bukit Merah,—
EW19,Queenstown,女皇镇,குவீன்ஸ்டவுன்,12-Mar-88,"Princess, Commonwealth",QUE,Queenstown,—
EW20,Commonwealth,联邦,காமன்வெல்த்,12-Mar-88,Queenstown,COM,Queenstown,—
EW21  CC22,Buona Vista,波那维斯达,புவன விஸ்தா,12-Mar-88,North Buona Vista,BNV,Queenstown,"Circle Line
― 
 Buona Vista
 Ghim Moh"
EW22,Dover,杜弗,டோவெர்,18-Oct-01,Polytechnic,DVR,Queenstown,—
EW23,Clementi,金文泰,கிளிமெண்டி,12-Mar-88,Clementi,CLE,Clementi,Clementi
EW24  NS1,Jurong East,裕廊东,ஜூரோங் கிழக்கு,5-Nov-88,"Jurong, Jurong Town",JUR,Jurong East,"North South Line
― 
 Jurong East"
EW25,Chinese Garden,裕华园,சீனத் தோட்டம்,5-Nov-88,Jurong Lake,CNG,Jurong East,—
EW26,Lakeside,湖畔,ஏரிக்கரை,5-Nov-88,Corporation,LKS,Jurong West,—
EW27,Boon Lay,文礼,பூன் லே,6-Jul-90,Jurong West,BNL,Jurong West,Boon Lay
EW28,Pioneer,先驱,பயனியர்,28-Feb-09,Pioneer,PNR,Jurong West,—
EW29,Joo Koon,裕群,ஜூ கூன்,28-Feb-09,Joo Koon,JKN,Pioneer Planning Area,Joo Koon
EW30,Gul Circle,卡尔圈,கல் சர்க்கல்,18-Jun-17,Tuas,GCL,"Pioneer Planning Area, Tuas",—
EW31,Tuas Crescent,大士弯,துவாஸ் கிரசண்ட்,18-Jun-17,Tuas Crescent,TCR,Tuas,—
EW32,Tuas West Road,大士西路,துவாஸ் வெஸ்ட் ரோடு,18-Jun-17,Tuas West,TWR,Tuas,—
EW33,Tuas Link,大士连路,துவாஸ் லிங்க்,18-Jun-17,Tuas Link,TLK,Tuas,"Tuas
― 
 Tuas Checkpoint"
Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL),Changi Airport Branch Line (CAL)
CG1  DT35,Expo,博览,எக்ஸ்போ,10-Jan-01,Somapah,XPO,Tampines,Downtown Line
CG2,Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,8-Feb-02,Changi Airport,CGA,Changi,"Changi Airport
― 
 Changi Airport Terminals 1-4"
